Field Listing :: Legislative branch :: The World Factbook - Central Intelligence Agency

This entry has three subfields. The description subfield provides the legislative structure (unicameral â€“ single house; bicameral â€“ an upper and a lower house); formal name(s); number of member seats; types of constituencies or voting districts (single seat, multi-seat, nationwide); electoral voting system(s); and member term of office. The elections subfield includes the dates of the last election and next election. The election results subfield lists percent of vote by party/coalition and number of seats by party/coalition in the last election (in bicameral legislatures, upper house results are listed first). In general, parties with less than four seats and less than 4 percent of the vote are aggregated and listed as "other," and non-party-affiliated seats are listed as "independent." Also, the entries for some countries include two sets of percent of vote by party and seats by party; the former reflects results following a formal election announcement, and the latter â€“ following a mid-term or byelection â€“ reflects changes in a legislatureâ€™s political party composition.
Of the approximately 240 countries with legislative bodies, approximately two-thirds are unicameral, and the remainder, bicameral. The selection of legislative members is typically governed by a country's constitution and/or its electoral laws. In general, members are either directly elected by a country's eligible voters using a defined electoral system; indirectly elected or selected by its province, state, or department legislatures; or appointed by the country's executive body. Legislative members in many countries are selected both directly and indirectly, and the electoral laws of some countries reserve seats for women and various ethnic and minority groups.
Worldwide, the two predominant direct voting systems are plurality/majority and proportional representation. The most common of the several plurality/majority systems is simple majority vote, or first-past-the-post, in which the candidate receiving the most votes is elected. Countries' legislatures such as Bangladesh's Parliament, Malaysia's House of Representatives, and the United Kingdom's House of Commons use this system. Another common plurality/majority system â€“ absolute majority or two-round â€“ requires that candidates win at least 50 percent of the votes to be elected. If none of the candidates meets that vote threshold in the initial election, a second poll or"runoff" is held soon after for the two top vote getters, and the candidate receiving a simple vote majority is declared the winner. Examples of the two-round system are Haiti's Chamber of Deputies, Mali's National Assembly, and Uzbekistan's Legislative Chamber. Other plurality/majority voting systems, referred to as preferential voting and generally used in multi-seat constituencies, are block vote and single non-transferable vote, in which voters cast their ballots by ranking their candidate preferences from highest to lowest.
Proportional representation electoral systems â€“ in contrast to plurality/majority systems â€“ generally award legislative seats to political parties in approximate proportion to the number of votes each receives. For example, in a 100-member legislature, if Party A receives 50 percent of the total vote, Party B, 30 percent, and Party C, 20 percent, then Party A would be awarded 50 seats, Party B 30 seats, and Party C 20 seats. There are various forms of proportional representation and the degree of reaching proportionality varies. Some forms of proportional representation are focused solely on achieving the proportional representation of different political parties and voters cast ballots only for political parties, whereas in other forms, voters cast ballots for individual candidates within a political party.
Many countries - both unicameral and bicameral - use a mix of electoral methods, in which a portion of legislative seats are awarded using one system, such as plurality/majority, while the remaining seats are awarded by another system, such as proportional representation. Many countries with bicameral legislatures use different voting systems for the two chambers.

| Country | Legislative branch |
| **British Virgin Islands** | *description:* unicameral House of Assembly (13 seats; 9 members directly elected in single-seat constituencies and 4 at-large seats by simple majority vote to serve 4-year terms); note - the Assembly includes the attorney general, a non-voting ex officio member |
| | *elections:* last held on 8 June 2015 (next to be held in 2019) |
| | *election results:* percent of vote by party - NDP 60.2%, VIP 30.2%, PEP 4%, other 5.6%; seats by party - NDP 11, VIP 2 |
| **Brunei** | *description:* unicameral Legislative Council or Majlis Mesyuarat Negara Brunei (36 seats; members appointed by the sultan including 3 ex-officio members - the speaker and first and second secretaries; members appointed for 5-year terms) |
| | *elections:* appointed by the sultan |
| | *election results:* NA; composition - men 33, women 3, percent of women 8.3% |
| **Bulgaria** | *description:* unicameral National Assembly or Narodno Sabranie (240 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms) |
| | *elections:* last held on 26 March 2017 (next to be held spring 2021) |
| | *election results:* percent of vote by party/coalition - GERB 32.7%, BSP 27.2%, United Patriots 9.1%, DPS 9%, Volya 4.2%, other 17.8%; seats by party/coalition - GERB 95, BSP 80, United Patriots 27, DPS 26, Volya 12; composition - men 183, women 57, percent of women 23.8% |
| **Burkina Faso** | *description:* unicameral National Assembly (127 seats; members directly elected in multi-seat constituencies by party-list proportional representation vote to serve 5-year terms) |
| | *elections:* last held on 29 November 2015 (next to be held in 2020) |
| | *election results:* percent of vote by party - NA; seats by party - MPP 55, UPC 33, CDP 18, Union for Rebirth-Sankarist Party 5, ADF/RDA 3, NTD 3, other 10; composition - men 115, women 12, percent of women 9.4% |
| **Burma** | *description:* bicameral Assembly of the Union or Pyidaungsu consists of: |
| | House of Nationalities or Amyotha Hluttaw, (224 seats; 168 members directly elected in single-seat constituencies by absolute majority vote with a second round if needed and 56 appointed by the military; members serve 5-year terms) |
| | House of Representatives or Pyithu Hluttaw, (440 seats, currently 433; 330 members directly elected in single-seat constituencies by simple majority vote and 110 appointed by the military; members serve 5-year terms) |
| | *elections:* |
| | House of Nationalities - last held on 8 November 2015 (next to be held in 2020) |
| | House of Representatives - last held on 8 November 2015 (next to be held in 2020) |
| | *election results:* |
| | House of Nationalities - percent of vote by party - NLD 60.3%, USDP 4.9%, ANP 4.5%, SNLD 1.3%, other 4%, military appointees 25%; seats by party - NLD 135, USDP 11, ANP 10, SNLD 3, TNP 2, ZCD 2, other 3, independent 2, military appointees 56; composition - men 201, women 23, percent of women 10.3% |
| | House of Representatives - percent of vote by party - NLD 58%, USDP 6.8%, ANP 2.7%, SNLD 2.7%, military 25%, other 4.8%; seats by party - NLD 255, USDP 30, ANP 12, SNLD 12, PNO 3, TNP 3, LNDP 2, ZCD 2, other 3, independent 1, canceled due to insurgence 7, military appointees 110; composition - men 392, women 41, percent of women 9.5% |
| **Burundi** | *description:* bicameral Parliament or Parlement consists of: |
| | Senate or Inama Nkenguzamateka (43 seats in the July 2015 election; 36 members indirectly elected by an electoral college of provincial councils using a three-round voting system, which requires a two-thirds majority vote in the first two rounds and simple majority vote for the two leading candidates in the final round; 4 seats reserved for former heads of state, 3 seats reserved for Twas, and 30% of all votes reserved for women; members serve 5-year terms) |
| | National Assembly or Inama Nshingamateka (121 seats in the June 2015 election; 100 members directly elected in multi-seat constituencies by proportional representation vote and 21 co-opted members; 60% of seats allocated to Hutu and 40% to Tutsi; 3 seats reserved for Twas; 30% of total seats reserved for women; members serve 5-year terms) |
| | *elections:* |
| | Senate - last held on 24 July 2015 (next to be held in 2019) |
| | National Assembly - last held on 29 June 2015 (next to be held in 2020) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - CNDD-FDD 33, FRODEBU 2, CNDD 1, former heads of state 4, Twas 3, women 8; composition - men 25, women 18, percent of women 41.9%; |
| | National Assembly - percent of vote by party - CNDD-FDD 60.3%, Independents of Hope 11.2%, UPRONA 2.5%, other 26%; seats by party - CNDD-FDD 77, Independents of Hope 21, UPRONA 2, women 18, Twas 3; composition - men 77, women 44, percent of women 36.4%; note - total Parliament percent of women 37.8% |
| **Cabo Verde** | *description:* unicameral National Assembly or Assembleia Nacional (72 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| | *elections:* last held on 20 March 2016 (next to be held in 2021) |
| | *election results:* percent of vote by party MPD 54.5%, PAICV 38.2%, UCID 7%, other 0.3%; seats by party - MPD 40, PAICV 29, UCID 3; composition - men 57, women 15, percent of women 20.8% |
| **Cambodia** | *description:* bicameral Parliament of Cambodia consists of: |
| | Senate (62 seats; 58 indirectly elected by parliamentarians and commune councils, 2 indirectly elected by the National Assembly, and 2 appointed by the monarch; members serve 6-year terms) |
| | National Assembly (125 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| | *elections:* |
| | Senate - last held on 25 February 2018 (next to be held in 2024); National Assembly - last held on 29 July 2018 (next to be held in 2023) |
| | *election results:* Â  |
| | Senate - percent of vote by party - CPP 96%, FUNCINPEC 2.4%, KNUP 1.6%; seats by party - CPP 58; composition - men 53, women 9, percent of women 14.5% |
| | National Assembly - percent of vote by party - CPP 76.9%, FUNCINPEC 5.9%, LDP 4.9%, Khmer Will Party 3.4%, other 8.9%; seats by party - CPP 125; composition - men 100, women 25, percent of women 20%; note - total Parliament of Cambodia percent of women 18.2% |
| **Cameroon** | *description:* bicameral Parliament or Parlement consists of: |
| | Senate or Senat (100 seats; 70 members indirectly elected by regional councils and 30 appointed by the president; members serve 5-year terms) |
| | National Assembly or Assemblee Nationale (180 seats; members directly elected in multi-seat constituencies by simple majority vote to serve 5-year terms) |
| | *elections:* |
| | Senate - last held on 25 March 2018 (next to be held in 2023) |
| | National Assembly - last held on 30 September 2013 (next delayed until October 2019) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - CPDM 63, SDF 7; National Assembly - percent of vote by party - NA; seats by party - CPDM 148, SDF 18, UNDP 5, UDC 4, UPC 3, other 2; composition - men 74, women 26, percent of women 26% |
| | National Assembly - last held on 30 September 2013 (next delayed until October 2019); composition - men 124, women 56, percent of women 31.3%; note - total Parliament percent of women 29.3% |
| **Canada** | *description:* bicameral Parliament or Parlement consists of: |
| | Senate or Senat (105 seats; members appointed by the governor general on the advice of the prime minister and can serve until age 75) |
| | House of Commons or Chambre des Communes (338 seats; members directly elected in single-seat constituencies by simple majority vote with terms up to 4 years) |
| | *elections:* |
| | House of Commons - last held on 19 October 2015 (next to be held on 21 October 2019) |
| | *election results:* |
| | Senate - composition - men 74, women 31, percent of women 29.5% |
| | House of Commons - percent of vote by party - Liberal Party 39.5%, CPC 31.9%, NDP 19.7%, Bloc Quebecois 4.7%, Greens 3.4%, other 0.8%; seats by party - Liberal Party 184, CPC 99, NDP 44, Bloc Quebecois 10, Greens 1 |
| | *note:* seats by party, as of December 2018 - Liberal Party 181, CPC 96, NDP 41, Bloc Quebecois 10, Greens 1, People's Party of Canada 1, independent 4, vacant 4; composition - men 250, women 88, percent of women 26%; note - total Parliament percent of women 26.9% |
| **Cayman Islands** | *description:* unicameral Legislative Assembly (21 seats; 19 members directly elected by majority vote and 2 ex officio members - the deputy governor and attorney general - appointed by the governor; members serve 4-year terms) |
| | *elections:* last held on 24 May 2017 (next to be held in 2021) |
| | *election results:* percent of vote by party - independent 44.7%, PPM 31.2%, CDP 24.1%; seats by party - independent 9, PPM 7, CDP 3; composition - men 18, women 3, percent of women 14.3% |
| **Central African Republic** | *description:* unicameral National Assembly or Assemblee Nationale (140 seats; members directly elected in single-seat constituencies by absolute majority vote with a second round if needed; members serve 5-year terms) |
| | *elections:* last held 30 December 2015 (results annulled), 14 February 2016 - first round and 31 March 2016 - second round (next to be held in 2021) |
| | *election results:* percent of vote by party - NA; seats by party - UNDP 16, URCA 11, RDC 8, MLPC 10, KNK 7, other 28, independent 60; composition - men 129, women 11, percent of women 7.9% |
| **Chad** | *description:* unicameral National Assembly (188 seats; 163 directly elected in multi-seat constituencies by proportional representation vote and 25 directly elected in single-seat constituencies by absolute majority vote with a second round if needed; members serve 4-year terms) |
| | *elections:* last held on 13 February and 6 May 2011 (next to be held in 2019) |
| | *election results:* percent of vote by party - NA; seats by party - MPS 117, UNDR 10, RDP 9, RNDT/Le Reveil 8, URD 8, Viva-RNDP 5, FAR 4, CTPD 2, PDSA 2, PUR 2, UDR 2, other 19; composition - men 164, women 24, percent of women 12.8% |
| | *note:* the National Assembly mandate was extended to 2019, reportedly due to a lack of funding for the scheduled 2015 election |
| **Chile** | *description:* bicameral National Congress or Congreso Nacional consists of: |
| | Senate or Senado (43 seats following the 2017 election; to increase to 50 in 2021); members directly elected in multi-seat constituencies by open party-list proportional representation vote to serve 8-year terms with one-half of the membership renewed every 4 years) |
| | Chamber of Deputies or Camara de Diputados (155 seats; members directly elected in multi-seat constituencies by oen party-list proportional representation vote to serve 4-year terms) |
| | *elections:* |
| | Senate - last held on 19 November 2017 (next to be held in 2021) |
| | Chamber of Deputies - last held on 19 November 2017 (next to be held in 2021) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - New Majority Coalition (formerly known as Concertacion) 19 (PDC 6, PS 6, PPD 6, MAS 1), Let's Go Chile Coalition (formerly known as the Coalition for Change and the Alianza coalition) 15 (RN 6, UDI 8, Amplitude Party 1), independent 4 |
| | Chamber of Deputies - percent of vote by party - NA; seats by party - New Majority 68 (PDC 21, PS 16, PPD 14, PC 6, PRSD 6, Citizen Left 1, independent 4), Coalition for Change 47 (UDI 29, RN 14, independent 3, EP 1), Liberal Party 1, independent 4 |
| **China** | *description:* unicameral National People's Congress or Quanguo Renmin Daibiao Dahui (maximum of 3,000 seats; members indirectly elected by municipal, regional, and provincial people's congresses, and the People's Liberation Army; members serve 5-year terms); note - in practice, only members of the Chinese Communist Party (CCP), its 8 allied independent parties, and CCP-approved independent candidates are elected |
| | *elections:* last held in December 2017-February 2018 (next to be held in late 2022 to early 2023) |
| | *election results:* percent of vote - NA; seats by party - NA; composition - men 2,238, women 742, percent of women 24.9% |
| **Christmas Island** | *description:* unicameral Christmas Island Shire Council (9 seats; members directly elected by simple majority vote to serve 4-year terms with a portion of the membership renewed every 2 years) |
| | *elections:* held every 2 years with half the members standing for election; last held on 17 October 2015 (next to be held on 21 October 2017) |
| | *election results:* percent of vote - NA; seats by party - independent 9; composition as of 17 October 2015 - men 6, women 3, percent of women 33.3% |
| **Cocos (Keeling) Islands** | *description:* unicameral Cocos (Keeling) Islands Shire Council (7 seats; members directly elected by simple majority vote to serve 4-year terms with half the membership renewed every 2 years) |
| | *elections:* last held in October 2017 (next to be held in October 2019) |
| | *election results:* percent of vote by party - NA; seats by party - NA; composition - men 5, women 2, percent of women 28.6% |
| **Colombia** | *description:* bicameral Congress or Congreso consists of: |
| | Senate or Senado (108 seats; 102 members elected in a single nationwide constituency by party-list proportional representation vote, 2 members elected in a special nationwide constituency for indigenous communities, 5 members of the People's Alternative Revolutionary Force (FARC) political party for the 2018 and 2022 elections only as per the 2016 peace accord, and 1 seat reserved for the runner-up presidential candidate in the recent election; all members serve 4-year terms) |
| | Chamber of Representatives or Camara de Representantes (172 seats; 166 members elected in multi-seat constituencies by party-list proportional representation vote, 5 members of the FARC for the 2018 and 2022 elections only as per the 2016 peace, and 1 seat reserved for the runner-up vice presidential candidate in the recent election; all members serve 4-year terms) |
| | *elections:* Â  |
| | Senate - last held on 11 March 2018 (next to be held in March 2022) |
| | Chamber of Representatives - last held on 11 March 2018 (next to be held in March 2022) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - CD 19, CR 16, PC 15, PL 14, U Party 14, Green Alliance 10, PDA 5, other 9 |
| | Chamber of Representatives - percent of vote by party - NA; seats by party - PL 35, CD 32, CR 30, U Party 25, PC 21, Green Alliance 9, other 13 |
| **Comoros** | *description:* unicameral Assembly of the Union (33 seats; 24 members directly elected by absolute majority vote in 2 rounds if needed and 9 members indirectly elected by the 3 island assemblies; members serve 5-year terms) (2017) |
| | *elections:* last held on 25 January 2015 with a runoff on 22 February 2015 (next to be held in 2020) (2017) |
| | *election results:* percent of vote by party - UPDC 29.1%, PJ 20.5%, RDC 21.3%, other 29.1%; seats by party - UPDC 8, PJ 7, RDC 2, CRC 2, RADHI 1, PEC 1, independent 3; composition - men 32, women 1, percent of women 3%; note -Â  9 additional seats filled by the 3 island assemblies |
| **Congo, Democratic Republic of the** | *description:* bicameral Parliament or Parlement consists of: |
| | Senate (108 seats; members indirectly elected by provincial assemblies by proportional representation vote; members serve 5-year terms) |
| | National Assembly (500 seats; 439 members directly elected in multi-seat constituencies by proportional representation vote and 61 directly elected in single-seat constituencies by simple majority vote; members serve 5-year terms) |
| | *elections:* |
| | Senate - last held on 19 January 2007 (follow-on election has been delayed) |
| | National Assembly - last held on 28 November 2011 (next originally scheduled for 27 November 2016 but postponed |
